task,train_seed,stdmax,eval_noise_sigma,diag_seed,num_probe_states,horizon,atr_q90,same_radius_q90,clean_transition_l2_median,smpr,same_radius_median,semantic_diff_l2_median,semantic_margin_median,semantic_pair_count,smpr_status,smpr_pair_rule,atr_source,smpr_source
PushT,3074,0.05,0.08,9101,100,8,0.5117253256273983,2.7168705463409424,5.3092360496521,1.0,1.506904125213623,17.585790634155273,15.235418319702148,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3074,0.06,0.08,9101,100,8,0.2956034247775745,1.752495527267456,5.9285359382629395,1.0,0.795268177986145,17.854373931884766,15.856171607971191,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3074,0.07,0.08,9101,100,8,0.2982819872304896,1.6642999649047852,5.579619407653809,1.0,1.015272617340088,16.876312255859375,15.177249908447266,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
PushT,3074,0.08,0.08,9101,100,8,0.24924560008746618,1.4653362035751343,5.879085540771484,1.0,0.6220362782478333,17.537567138671875,16.24110984802246,98,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
Reacher,3072,0.0,0.08,9101,100,8,2.612153470267934,17.891921997070312,6.849491119384766,0.7699999809265137,14.782209396362305,18.70722770690918,3.1312713623046875,100,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
Reacher,3072,0.01,0.08,9101,100,8,2.633614549569611,18.181629180908203,6.903678894042969,0.8999999761581421,5.151379108428955,18.729354858398438,10.535755157470703,100,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
Reacher,3072,0.02,0.08,9101,100,8,0.06478999624693388,0.44607818126678467,6.884985446929932,1.0,0.18852576613426208,19.01788902282715,18.787851333618164,100,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
Reacher,3072,0.03,0.08,9101,100,8,0.19834278867908908,1.3913661241531372,7.014956951141357,1.0,0.7062433958053589,18.691917419433594,17.994136810302734,100,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
Reacher,3072,0.04,0.08,9101,100,8,0.15205680051564777,1.05931556224823,6.966578006744385,1.0,0.4985601305961609,18.749202728271484,18.074434280395508,100,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
Reacher,3072,0.05,0.08,9101,100,8,0.045968284705797675,0.3514409065246582,7.645290851593018,1.0,0.17050093412399292,18.186830520629883,17.72184944152832,100,ok,task-grounded label contrast within closest state-distance neighborhood,assets/paper1_data/acpc_phase0_lewm_three_seed.json,assets/paper1_data/semantic_task_grounded_margin_lewm_full_sweep_20260708.json
