task,train_seed,split,stdmax,eval_noise_sigma,closed_loop_score,base_closed_loop_score,best_closed_loop_score,normalized_recovery,regime,atr_q90,atr_rel,smpr
PushT,3074,heldout,0.02,0.08,68.333333,15.333333,87.333333,0.7361111111111112,transition,1.1164728551486196,0.33141156845879943,0.9897959232330322
PushT,3074,heldout,0.03,0.08,84.666667,15.333333,87.333333,0.9629629722222224,robust,0.6350778064999901,0.18851522540377266,1.0
PushT,3074,heldout,0.04,0.08,86.333333,15.333333,87.333333,0.9861111111111112,robust,0.44894904308193334,0.13326513568129233,1.0
PushT,3074,heldout,0.05,0.08,79.666667,15.333333,87.333333,0.8935185277777778,robust,0.5117253256273983,0.15189952178791724,1.0
PushT,3074,heldout,0.06,0.08,86.333333,15.333333,87.333333,0.9861111111111112,robust,0.2956034247775745,0.08774632916112221,1.0
PushT,3074,heldout,0.07,0.08,83.666667,15.333333,87.333333,0.9490740833333334,robust,0.2982819872304896,0.08854142828031869,1.0
PushT,3074,heldout,0.08,0.08,87.333333,15.333333,87.333333,1.0,robust,0.24924560008746618,0.0739855652338687,1.0
Reacher,3072,calibration,0.0,0.08,18.333333333333332,18.333333333333332,84.66666666666667,0.0,fragile,2.612153470267934,1.0,0.7699999809265137
Reacher,3072,calibration,0.01,0.08,45.666666666666664,18.333333333333332,84.66666666666667,0.4120603015075376,transition,2.633614549569611,1.008215856972399,0.8999999761581421
Reacher,3072,calibration,0.02,0.08,83.66666666666667,18.333333333333332,84.66666666666667,0.9849246231155779,robust,0.06478999624693388,0.024803288545021143,1.0
Reacher,3072,calibration,0.03,0.08,78.66666666666667,18.333333333333332,84.66666666666667,0.9095477386934674,robust,0.19834278867908908,0.07593075634210139,1.0
Reacher,3072,calibration,0.04,0.08,82.0,18.333333333333332,84.66666666666667,0.9597989949748743,robust,0.15205680051564777,0.05821128132262879,1.0
Reacher,3072,calibration,0.05,0.08,70.0,18.333333333333332,84.66666666666667,0.778894472361809,transition,0.045968284705797675,0.017597849907755463,1.0
Reacher,3072,calibration,0.06,0.08,81.33333333333333,18.333333333333332,84.66666666666667,0.9497487437185929,robust,0.09333476847477239,0.035730966628541486,1.0
Reacher,3072,calibration,0.07,0.08,84.66666666666667,18.333333333333332,84.66666666666667,1.0,robust,0.08639070683487915,0.03307259999008323,1.0
Reacher,3072,calibration,0.08,0.08,82.0,18.333333333333332,84.66666666666667,0.9597989949748743,robust,0.08880907729496679,0.03399841483504316,1.0
Reacher,3073,heldout,0.0,0.08,17.666667,17.666667,83.333333,0.0,fragile,2.693261122041363,1.0,0.699999988079071
Reacher,3073,heldout,0.01,0.08,47.0,17.666667,83.333333,0.44670050707310166,transition,2.6027048506193275,0.9663767205188786,0.8799999952316284
Reacher,3073,heldout,0.02,0.08,62.666667,17.666667,83.333333,0.6852791947744081,transition,0.6588230618793407,0.24461908148734735,0.9799999594688416
Reacher,3073,heldout,0.03,0.08,71.0,17.666667,83.333333,0.8121827442861193,robust,0.23340795508553996,0.08666369301340819,1.0
Reacher,3073,heldout,0.04,0.08,79.666667,17.666667,83.333333,0.944162446133629,robust,0.15381685673917023,0.0571117503165027,0.9799999594688416
Reacher,3073,heldout,0.05,0.08,80.0,17.666667,83.333333,0.9492385832410009,robust,0.11123624434477171,0.04130169311635849,0.9799999594688416
Reacher,3073,heldout,0.06,0.08,81.666667,17.666667,83.333333,0.9746192992347138,robust,0.09228874708655786,0.034266542642774796,0.9899999499320984
Reacher,3073,heldout,0.07,0.08,83.333333,17.666667,83.333333,1.0,robust,0.08391022999214207,0.031155623680685716,0.9899999499320984
Reacher,3073,heldout,0.08,0.08,82.333333,17.666667,83.333333,0.9847715734494576,robust,0.07983325670074502,0.029641855387655555,0.9899999499320984
